index,ocupacion,clasificacion-oit
36652,ortopedista,22
36653,proefesora,23
36654,tec en areas legales,34
36655,anfintrion de sucur,51
36656,principal solucion arquit,21
36657,descargador de lanchas,92
36658,operador de higene,51
36659,directo de operaciones,13
36660,aux de servicios menores,91
36661,gerente de riesgo,12
36662,asesor de cosecha,61
36663,jefe de estructura,11
36664,reponedora en ruta part t,52
36665,gerente adm y finanzas,12
36666,tec de telecomunicaciones,31
36667,jefa administr y bodega,12
36668,ingeniera gestion proyect,21
36669,coordinadora de subvencio,24
36670,asistente guarda,54
36671,ejec de venta de bonos,42
36672,locero,53
36673,secretario integral,41
36674,profesora de historia y a,23
36675,manutencion y aseo,91
36676,operador plc,81
36677,maestro m 1,23
36678,coordinadormantenimiento,22
36679,unidad tecnico,31
36680,cuidadoras,53
36681,tecnico superior en enfer,32
36682,captadora tarjeta,42
36683,operario aseo maquinas,81
36684,jefa de seleccion,11
36685,ayudante mec,72
36686,oparadora,81
36687,ordeño y trabajo agricola,61
36688,operador recepcion,42
36689,encargada rad,41
36690,repondor de ruta,83
36691,vendedor motos,52
36692,supervisor de afiliacion,33
36693,ayudante geomensor,31
36694,constructora,71
36695,asistente apoyo,44
36696,encargada de vida estud,23
36697,emcargada de ambiente,el encargado de ambiente podría clasificarse como un profesional en ciencias sociales y culturales, por lo que la clasificación más probable sería:

26
36698,supervisor y monitor,34
36699,servicios general,44
36700,se desconconoce,96
36701,gestor y asistente de pro,24
36702,maquinista segundo,81
36703,jefe zona sur,11
36704,tecnico de costura,72
36705,tec profesional vino,31
36706,conductor de camion barre,83
36707,recaudador de buses,83
36708,operadora cargador fronta,83
36709,cordinadora de proyectos,24
36710,jefe alimento y bebida,14
36711,buceador basico,72
36712,maestro arm soldador,72
36713,auxiliar de soldador,72
36714,encargado de barricas,72
36715,electicidta,71
36716,dependiente vendedor,52
36717,ejectutivo comercial,12
36718,jefa de truno,11
36719,ayudante de maesro,36
36720,coordinador dis,24
36721,operador 1 y ayudante,81
36722,asistente de carniceria,92
36723,ayudante petrolero,93
36724,profesor de violin,23
36725,jardinero huerto,61
36726,ejcutivo post venta,12
36727,ingeniero consult tecnico,21
36728,jefa de gestion de compra,12
36729,analista de garantia,24
36730,apoyo psicosocial,34
36731,jefa oficina de parte,33
36732,empaques de salon de vtas,52
36733,supervisor de servicios,12
36734,reponedora de fiambreria,52
36735,opoerador de productos es,81
36736,scanista,41
36737,profesional programa,21
36738,aseo en calles,91
36739,enfermera matrona,22
36740,mantencion polifuncional,91
36741,dirctor de colegio,23
36742,supervisor de barrido,54
36743,tecnico laboiratorio,31
36744,agente de atencion al via,42
36745,tco ed parvularia,23
36746,elaboracion y preparacion,94
36747,encargado de contabilidad,43
36748,encargada sala actividad,41
36749,varista barquillera,53
36750,jefe de equipo sag,13
36751,auditor de stock,33
36752,soldadura y mantencion,72
36753,ayudante pinturas,75
36754,tripiulante de cabina,21
36755,jefa de urgencias,22
36756,controlflota,32
36757,operadora de centro,35
36758,operario de quimico,72
36759,soldador mecanico industr,72
36760,operador casamezcla,81
36761,mantencion tractorista,61
36762,tecnico servmaqpesada,34
36763,encargado de grupo de man,11
36764,sicopedadoga,23
36765,reponedora jugueteria,52
36766,tecnico e instalaciones,81
36767,ayudante de frio,72
36768,vendedor al meson,52
36769,clasificadora de madera,72
36770,aseador de patio,91
36771,represente legal,26
36772,tecnico mecanica,31
36773,cajero y supervisor,42
36774,dibujo tecnico,31
36775,ayudante pci,24
36776,jefa de eventos,14
36777,tecnico mant ascensores,31
36778,carpintero en seguridad,72
36779,auxiliar de lineal,41
36780,trabaj social,26
36781,anfitriona oficina,41
36782,obrera temporal,92
36783,asesora de clientes deco,42
36784,encargado de edificios,41
36785,maestro primera paneles,73
36786,jefe de cartero,12
36787,operaria de traduccion,21
36788,mestra cervezera,72
36789,operadora de desarrollo,24
36790,encargad de residencia,51
36791,prevencioniusta de riesgo,21
36792,operadora de bodega logis,81
36793,operador de barredora,83
36794,operador transportista,83
36795,jefe de calidad de vida,24
36796,aseadora en terminacion,91
36797,tecnico entel,31
36798,supervisor de capo,13
36799,preparador de autos nuevo,72
36800,asist veterinario,32
36801,cuidadora hogar,53
36802,operario fabricante,82
36803,m1 trabajador,51
36804,gerente de marketing y ve,12
36805,operadora costurera,73
36806,encargado comercial adm,24
36807,op senior embalado,82
36808,aseo y lavanderia,91
36809,chofer de maq pesada,83
36810,laborante de laboratorio,31
36811,enc calidad enfermera,32
36812,tecnico refrig en ruta,31
36813,mecanico de helicopteros,72
36814,oprador de turno,81
36815,gerente de estudios,12
36816,bodega y recepcion,41
36817,jefe serv grales mant y,12
36818,explotador de sistemas,25
36819,maestro armador de segund,72
36820,maestro en marmol,73
36821,teecnico ayudante,34
36822,joyero,73
36823,jefa dpto prevencion,14
36824,terap ocupacional,22
36825,participante talento rojo,91
36826,adminiostrativo de proyec,12
36827,encargado taller y mecani,72
36828,bombera de bencinera,52
36829,asesora de outlet,42
36830,educador de tratodirecto,23
36831,operador de neumaticos,81
36832,rematador en terminacion,73
36833,administrativa admision,33
36834,administrativo contabilid,33
36835,lectora repartidora,91
36836,asistente de sombra,34
36837,asistente de extencion,36
36838,directora juridica,26
36839,tecnico agricola 2 abordo,61
36840,consultor pmo,24
36841,tec en serv en terreno,34
36842,chofer ambulancia,83
36843,tec matricero,31
36844,operario trafico de cajas,41
36845,criuw,96
36846,servicios transitorios,43
36847,reponedor mercaderias,52
36848,picera,72
36849,reger,22
36850,profesor de tecnologia,23
36851,operador del centro i,81
36852,enc abastecimiento,24
36853,ejectiva de cuentas,33
36854,tecnico servicio tecnico,31
36855,operador salsero,81
36856,ayudante operador terreno,81
36857,operraioi,71
36858,asitente recursos humanos,33
36859,jefe de credito y cobranz,33
36860,ayudante de segundo,53
36861,auxiliar runner,91
36862,ejecutiva at usuarios,12
36863,educador trato direct,23
36864,encargado de aria,41
36865,operador de zona estanque,81
36866,operador de maquinaria pesada,83
36867,maestro de danza,23
36868,vendededora integral,52
36869,m1 adamiero,71
36870,enfermero clinico hemodia,22
36871,jardinero auxliar de serv,51
36872,obrero tractorista,92
36873,operador lavanderia,81
36874,supervisor de vivieda,14
36875,subgerente local,12
36876,armador de cargas,81
36877,fundidora,72
36878,courial,41
36879,operador d egrua,81
36880,jornal de higiene,91
36881,limpia manos,53
36882,nutricionista labores de,22
36883,ayudante cuidador,53
36884,enargado de recepcion,42
36885,bibliotecaria adminis,34
36886,repartidor de domino pizza,83
36887,gerencia administracion,12
36888,auxiliar de ceviles,41
36889,consultor de reclutamient,24
36890,sub contadora,43
36891,capitan de barco,83
36892,administratvo,33
36893,operador mestranza,72
36894,vendedora y cargadora,52
36895,atencion de pacientes de,22
36896,corto frio,75
36897,asist de la educ bibliote,36
36898,ayudante en tuberia,72
36899,tens sedile,91
36900,mantencion de jardinez,61
36901,jefe servicio financieros,33
36902,supervisor de post venta,12
36903,tecnico en asiste parvulo,36
36904,psicologa de enseñanza m,23
36905,group manager,12
36906,operadora dara,81
36907,coordinadora y profesora,23
36908,cocinero jefe barra,94
36909,coeducad ora,23
36910,asesora prevencion,34
36911,asistente de venta y repo,52
36912,ayundante soldador,72
36913,tecnico paramedicos,32
36914,conductor y rescatista,83
36915,tempera,92
36916,encargada personal aseo,91
36917,operarios planta piloto,81
36918,armador de enfierradura,71
36919,administradotr,24
36920,docente difencial,23
36921,actriz extra,34
36922,sell service,52
36923,supervision operaciones,13
36924,muestreador ppe,31
36925,ayudante carrpintero,75
36926,maestro eq electricos,31
36927,vendedor de ferreteria,52
36928,tecen sistemas,25
36929,motoserrista trepador,61
36930,enacargado de patio,41
36931,jefe comercial 2da region,12
36932,profesor jefe utp,23
36933,barredora de vias publica,91
36934,agente en terreno,42
36935,auxiliar de sala y camar,41
36936,manipulaadora de alimento,75
36937,operador montajes,82
36938,analista de cont y gest,33
36939,interventora familiar,36
36940,mantenciones y acondicion,81
36941,administrativo 2do,41
36942,camillero ambulancia,32
36943,admistradora agricola,61
36944,mayor  domo,91
36945,señalizacion ruta,93
36946,auxilio apoyo y aseo,91
36947,pesador de fruta,92
36948,tecnico de imaneologia,32
36949,jefe de mecanizado,72
36950,ayudante operador juego,82
36951,jefe del packin,73
36952,enfermera policlinico,32
36953,peoneta  bodeguero,92
36954,vendedor carnicero,52
36955,analista control sesion,25
36956,oeprador camion,83
36957,termo panelero,71
36958,ejecutva de terreno,12
36959,experto asesor de empresa,24
36960,administradora contadora,24
36961,ayudate de bodega,41
36962,encargada higiene industr,32
36963,coordinador de unidad,12
36964,jefe de calidad tecnica,13
36965,operaario de packing,82
36966,operador bodega y peoneta,83
36967,profesional de unidad ana,23
36968,supervisor de informatica,25
36969,auxiliar de servicio urge,41
36970,at servicio cliente,42
36971,ejecutiva contable,33
36972,reponedor patio,52
36973,tramitadora portuaria,83
36974,motointalador,31
36975,ayudante de tensado,82
36976,asistente proyecto,44
36977,recepcionista call center,42
36978,enfermera vet,22
36979,operador ceos,81
36980,auxiliar  pioneta,91
36981,ventas tecinicas,24
36982,ing en equipos medicos,31
36983,m2 combio de cables,73
36984,tercer ayudante conversio,91
36985,secetaria academica,41
36986,supervisor aplicacion,33
36987,operardor de maquinas,81
36988,inspeccion de lectura,23
36989,maestro de maqquina,72
36990,guardiua,54
36991,asist de relaciones lab,33
36992,amanzador y arreglador,73
36993,docente jefa de infante,23
36994,garzona full time,52
36995,directora de planeamiento,12
36996,slum maquina,81
36997,auxilia5r de servicio,41
36998,operador de generacion,81
36999,aducadora de parvulos,23
37000,vivero,61
37001,encajada terreno,73
37002,maestro de tercera,23
37003,mecanico zona caliente,72
37004,auxiliar de de servicio,41
37005,enc de siembra,61
37006,auxilair enfermeria,32
37007,consultor de servicios,24
37008,conductor de micro bus,83
37009,jefa unidad personas,11
37010,tec en edc diferencial,36
37011,planchero y encargado mer,91
37012,digitador comercial,41
37013,jardinero paisajismo,61
37014,aistente administrativa,43
37015,cuidador de maquinaria,81
37016,masntencion,93
37017,esp electromecanico,31
37018,auxiliar administrativio,44
37019,supervisor de telecomunic,25
37020,aspirante a tripulante,83
37021,monitor de caliad,21
37022,analista contenido,25
37023,back digital,25
37024,ejecutivo de credito y co,24
37025,enfermera y direc tecnic,32
37026,integrante de unidad tecn,31
37027,coordinador division desa,11
37028,tecnologo medico laborato,32
37029,monitor medio ambiente,21
37030,analista abastecimiento,24
37031,supervisor de lavanderia,91
37032,encargada de seguramiento,34
37033,jefa de extension,21
37034,monitora de trato de dire,42
37035,conductor de camiones cer,83
37036,asist serv al cliente,42
37037,coord de prog de integ,24
37038,auxiliar de areas verder,51
37039,jefa de coordinacion nac,11
37040,encargado convivencia esa,34
37041,docente edu deportivo,23
37042,servicio atencion al clie,42
37043,operativo tienda recepcio,42
37044,diseñador de planta,21
37045,operador sal de maquina,81
37046,coordinadora utp,23
37047,chefs ejecutivo,14
37048,triur,96
37049,gerente comercial y opera,12
37050,manipulador de grua orqui,81
37051,operario de bodega despac,91
37052,auiliar de servicios,41
37053,calibrador de cilos,31
37054,encargada de segurirdad,54
37055,andaribelista,92
37056,enfermera jefe tecnico,32
37057,sales advices,52
37058,repartidor de cuenta,33
37059,alfitrion,14
37060,ejecutivqa atencion clien,42
37061,directora academico,23
37062,cortador de marmol,72
37063,condujctor,83
37064,enfermera de poli,22
37065,tec en atencio de parvulo,36
37066,sub encardo numero 2,12
37067,tecnico en combustion,31
37068,diseñadora senior,21
37069,especialista de exhibicio,34
37070,agente de servicio pasaje,42
37071,operario bodega y grua,81
37072,coordinador en mantencion,13
37073,senior b auditoria,24
37074,cocinero y garzon,94
37075,apoyo rrhh,43
37076,enc de rrhh,24
37077,supervisor ventas terreno,52
37078,operativo especialista,81
37079,encargada producto termin,34
37080,tec de anestecia,32
37081,bodegero logistico,52
37082,asistente de reclutamient,41
37083,inspecto ed,21
37084,manipuladorade alimentos,94
37085,ayudante ojalateria,82
37086,jefa de unidad de inspecc,11
37087,toda pega en aserradero,92
37088,ejecutiva de banca,12
37089,jefa servicios quirurjico,22
37090,facilitadora habilid tran,34
37091,ingeniero enconstruccion,21
37092,coordinador de ingenieria,21
37093,panadero y pastelero,75
37094,guia vendedora,52
37095,ayudante de tomografia,32
37096,recolectores,96
37097,cargador frontal,83
37098,aducadora diferencial,23
37099,auxiliar y examinador pra,34
37100,crew  integral,51
37101,mestra 1,23
37102,subgerente operaciones,13
37103,ejec de ventas en terren,52
37104,despachadora de turno,41
37105,mestro de mantencion,73
37106,periodista de obispado,21
37107,psicolga pie,22
37108,jefe recepcion mercaderia,14
37109,auxiliar de labores,41
37110,inspertora de patio,91
37111,ayudante carga conbustible,91
37112,peaton,96
37113,coordinadora de academia,23
37114,analista academica,23
37115,encargda de area comercia,24
37116,aseador de lutocares,91
37117,administrati vo,33
37118,jefe de sucusal,12
37119,monitor de tienda,42
37120,tec enfermaria,32
37121,auxiliar de abodega,43
37122,auxiliar de servicios generales,44
37123,jefe tecnico thule,31
37124,empleado mezclero,72
37125,subgerente de repuestos,12
37126,muestreador de lab,32
37127,encargado comunicaciones,25
37128,tecnico en odolntologia,32
37129,vendedora en carniceria,52
37130,calibradora en empaque,72
37131,monitorio control calidad,21
37132,recepcionista telefonica,42
37133,encargado equipo rodante,81
37134,ingen de estandarizacion,21
37135,area paquin,33
37136,auxilkar de bodega,43
37137,jefe hornero,83
37138,operador muestrera,81
37139,jefe contsbilidad,33
37140,administrativo bancario,33
37141,administrativo de logisti,33
37142,coordinador de op,24
37143,envases,no puedo clasificar "envases" ya que no es una ocupación específica según las clasificaciones de la oit que me proporcionaste.
37144,operativo retiro tienda,81
37145,coordinadora tabla quirur,22
37146,aux hoteleria pabellon ce,14
37147,operario paquimetro,81
37148,aux operacional,41
37149,asistente de mezclado,75
37150,ayudante de sadema,34
37151,transcriptora,41
37152,profrsional de gestion,24
37153,cuidador de bosque,62
37154,operario muebles,75
37155,coordinado de inspeccion,14
37156,trabajador de cuadrilla,92
37157,cuidador de campo,63
37158,aux eventual,91
37159,maestro de fibras,73
37160,repartidor motoboy,83
37161,asistente de imagen,32
37162,screenieg,32
37163,operario de envase,75
37164,jefa de admision,12
37165,asistente de ogistica,41
37166,ajecutivo de ventas,12
37167,mecanismo oficinista,41
37168,contro de camaras,82
37169,jefe comercial y op,12
37170,encargada de repuesto,82
37171,auxiliar de tetica,53
37172,profesionl de licitaciones,24
37173,ayudante guardaparque,92
37174,asistente preventivo,34
37175,tecnico moncon,31
37176,encargada de testigo,24
37177,alimentacion de animales,61
37178,asistente de mediacion,34
37179,movilizador a bordo,83
37180,maestro segunda montaje,72
37181,ayudante de cocina chofe,94
37182,operativa en tiendas,42
37183,tecnico de porticos,31
37184,encargada desarrollo,24
37185,operario de resortera,72
37186,coordinadora de siclo,23
37187,asistente de obras civile,72
37188,asit educacion,36
37189,operador de mezcla,81
37190,operadora terreno,81
37191,operario extrusion,81
37192,medico cirujando,22
37193,conductor seguridad,83
37194,coordinador de la bibliot,34
37195,aseo de camiones y rampla,91
37196,operador carnico,75
37197,miseeplace,no existe una ocupación llamada "miseeplace" en la clasificación de ocupaciones de la oit. por favor, proporciona una ocupación válida para que pueda clasificarla.
37198,bar teander,42
37199,ayudnate de produccion,43
37200,representante de empresa,12
37201,digitador medico,41
37202,ejecutivo infromaciones,11
37203,mestro pintor de edificio,71
37204,educadora diferecnial,23
37205,ejecutivo confianza,11
37206,encargada cobranzas,33
37207,administrativ de servicio,12
37208,operario jornalero,92
37209,supervisora plataforma ac,12
37210,operario en faenaminto,93
37211,peoneta recolector de bas,96
37212,operario de maqquinaria,72
37213,palitazador en frio,72
37214,jefa de diseño,21
37215,supervisor de area tecnic,31
37216,armador de cajas,82
37217,leñador,62
37218,jefe de estacion,83
37219,tens de residencia,51
37220,gestion basura,96
37221,tec equipo medico,32
37222,portera auxiliar,91
37223,jefe de su,11
37224,psicologa de convicencia,23
37225,ejecutiva telemaketing,12
37226,supervisor mantenedor,31
37227,aseo plaza,91
37228,ayundate,53
37229,asistente de fotografia,73
37230,asesor departamento educa,23
37231,operador empaquetador,81
37232,pos venta,52
37233,decarga,93
37234,operador inst mantencion,81
37235,ejecutiova ventas,12
37236,administratiovo y operado,33
37237,encargada derlivery,83
37238,analista monitoreo de condiciones,31
37239,encargado de fotocopias,41
37240,guardias seg,54
37241,flejador,72
37242,analista gestion muestras,21
37243,encarga de procesamiento,75
37244,jornal pintor,73
37245,tecnicio electrico,31
37246,supervisor de patrulla,54
37247,tec empalmador,31
37248,auxiliar de procesos meno,41
37249,encargada de hogar,91
37250,tco electromecanico,31
37251,vendedor de seguros,24
37252,guadia seguridad,54
37253,auxiliar de limpieza maqu,91
37254,auxiliar vdea aseo,91
37255,tmt de rodilla,22
37256,operaria laminadora,72
37257,tecnologia medica,32
37258,pioneta de silo,91
37259,tens area infantil,23
37260,patrullera de seguridad,54
37261,jornal y jardinero,61
37262,profesional area finanzas,33
37263,oiperador de servicio,81
37264,supervisor mobil,12
37265,jefe de prevencion de riesgo,21
37266,auxuiliar servicios,44
37267,oficial verificador alarm,81
37268,redes e informatica,25
37269,auxiliar operaria,41
37270,asistente jefe de turno,41
37271,auxiliar de exterior,91
37272,sub directora tecnica,11
37273,tens hogar de apoyo,51
37274,consuctor y peoneta,83
37275,ayudante de molienda,75
37276,regador de cerezos,61
37277,sub gerente tecnologia,12
37278,lavador de componente,81
37279,tecnico en rehabilit,32
37280,ayudante de sheiding,41
37281,profesora de manualidades,36
37282,tecnico acuicultura,31
37283,maestro de pvc,72
37284,encargada agricola,61
37285,profesor de enseñansa med,23
37286,medico general de zona,22
37287,encargado de bodega y de,43
37288,jefa ventas,12
37289,cuidadora y ayudante,53
37290,agente en ventas,52
37291,op maquinista,81
37292,limpiador de aserrin,91
37293,auxiliar automotriz,72
37294,gestor base datos,25
37295,movilizador atrincador,91
37296,ayudante practicantes,41
37297,sx coworker,41
37298,peadora,92
37299,docente quimica,23
37300,feambrero atencion al pub,42
37301,estiguar lavado de losa,91
37302,cajetera,42
37303,desarrollo muebles,75
37304,operador cortadora,81
37305,tenico en mantenimiento,31
37306,auxiliar carga y descarga,96
37307,vendedora dependiente,52
37308,asistente de ecografia,32
37309,ejecutiva de clientes pre,42
37310,maestro chocolatero,73
37311,ejecutiva coordinadora,11
37312,supervisor de unidad,12
37313,planificador de procesos,21
37314,couch,51
37315,adm inistrativa,33
37316,auto control,no se encuentra en la lista proporcionada.
37317,controlador logistico,24
37318,ayudante ganadero,92
37319,jornal carpintero,73
37320,operaria de pinking,75
37321,administrativa de linea,12
37322,promotor en terreno,51
37323,igeneriero desarrollo,21
37324,analista informatica,25
37325,apoyo profesiona especial,34
37326,jefa experiencia clientes,24
37327,asistente de armado,82
37328,riego degnificado,92
37329,auxiliar de centrifugas,91
37330,tecnica en anestecia,32
37331,supervisora fruticulo,12
37332,repartidor peoneta,83
37333,coordinadora tienda,42
37334,ayudante en productos,43
37335,promotor tienda,52
37336,apoyo a las distintas uni,23
37337,ayudante elctrico,72
37338,directora de sename,11
37339,camarero de hotel,14
37340,logistica operario,81
37341,analista de fitoplancton,21
37342,maestro de frenos,72
37343,labores menores,96
37344,maniuladora de alimentos,94
37345,soldador m1,72
37346,ayudante en reparaciones,73
37347,especialista tii,25
37348,profesor de educ diferenc,23
37349,analista contable tibutar,33
37350,ayudante de operacion,82
37351,personal de aseo y ornato,91
37352,coordinador facturacion,33
37353,demostrador reponedor,52
37354,trasportadora,83
37355,ingeniero electricidad,21
37356,asistete ejecutiva,41
37357,tecnico de telecomunic,25
37358,dermo coaching,51
37359,climatizador,72
37360,adminstrador de contrato,24
37361,procesando maiz,92
37362,profesora de taller,23
37363,maestro granayador,23
37364,instructora de pasteleria,23
37365,remanufacturada,no hay una ocupación específica llamada "remanufacturada" en la lista proporcionada. si te refieres a una ocupación relacionada con la remanufactura, por favor proporciona más detalles.
37366,control estacionamientos,42
37367,calacion de muebles,75
37368,asistente de vison,34
37369,descargador de camiones,93
37370,ejecutivo de recuperacion,12
37371,operatorio de bodega,81
37372,asesor optico,32
37373,maestro motocerrista,73
37374,acomodadora embaladora,82
37375,secretaria de grupo,44
37376,operario de maestranza,72
37377,auxial de servicio,42
37378,supervisora maquina de az,81
37379,arquitecta docente,23
37380,profesional de desarroll,25
37381,ayudante de pizzeria,94
37382,product owner,24
37383,vendedor despostador,52
37384,recepsionista,41
37385,ayudante de staker,93
37386,coordinadora aldea niños,23
37387,maestro 1era electricista,31
37388,coordinadora laboratorio,31
37389,vendedora terapeuta,23
37390,auxiliar servicio clinico,32
37391,arquitecto de infraestruc,21
37392,inspector certificacion,34
37393,asisitente de aula,36
37394,ayudante de seleccion,91
37395,tec toma de muesta,32
37396,educadodra de parvulos,23
37397,limpieza de vehiculos int,91
37398,tecnico mecanico d,31
37399,encargada de pastoral,26
37400,oftalmologo,22
37401,condcutor de camion,83
37402,supervisor de contact cen,33
37403,tecnico estructura,31
37404,asistente de panadero,75
37405,supevisor de venta,52
37406,maestro cañerias,72
37407,tec supervisor,31
37408,operaria de embasado,75
37409,analista de seccion,33
37410,asistente compostura,73
37411,asesora atencion cliente,42
37412,tecnico mecanico b,31
37413,analistas control de gest,24
37414,operaria enologica,71
37415,agente de coro,23
37416,maestro de vidrio,73
37417,conductor e instalador,83
37418,representante de envios,42
37419,encargada area familiar,51
37420,inspector terreno obra,31
37421,sub gerente de restaurant,14
37422,supervisora y ayuda en bo,41
37423,maquilladora junior,53
37424,maestro minero segundo,93
37425,adm de recursos humanos,24
37426,trabajador limpieza,91
37427,enseñanza basica,23
37428,operaria de cuarto de em,91
37429,crew operadora,83
37430,bartender garzona,52
37431,manupuladora,96
37432,encargada de promocion,24
37433,docente area arte,23
37434,jefe ensacado,72
37435,pintor maestro,73
37436,touwin,96
37437,educasion fisica,23
37438,secretaria unidad deporte,41
37439,corrdinadora de eventos,24
37440,maestro cortador y chofer,83
37441,entrenador de local,34
37442,conductor camion mantencion,83
37443,ingeniero de telecomunica,21
37444,carpintero albañil,75
37445,auxuliar de faena,91
37446,coordinadora de instalaci,81
37447,camarera auxiliar de ase,91
37448,mecanico de bici,72
37449,encargado atencion client,42
37450,supervisor linea filete,12
37451,personal higiene,53
37452,mensajero motorizado,83
37453,operario de subproducto,93
37454,lavado de material,43
37455,apoyo linea caja,41
37456,ingeniera agriacola,21
37457,administrador obra,13
37458,profesor ski,23
37459,camarinera de piscina,51
37460,creuw,no tengo información sobre la ocupación "creuw". podrías enviarme una ocupación específica para clasificarla según la oit.
37461,aprendiz de proyectos,31
37462,ornato y aseo,91
37463,radeo,83
37464,preparadaor de pedido,83
37465,segundo ingeniero,21
37466,agronoma en terrreno,61
37467,secretaria multifuncional,41
37468,mecanico procesos,31
37469,orientadora de basica,23
37470,maestro de montaje electr,31
37471,operarios de operaciones,81
37472,administradora de bibliot,23
37473,paradocente tutora,23
37474,auxiliar aseo plaza,91
37475,ayudante mecanizado,72
37476,profesora del gimnacio,36
37477,raleo y amarre,61
37478,inspecytor de calidad,31
37479,ejecutiva de clientes,12
37480,inventario de gas,31
37481,aseo de cocina,94
37482,instalador climatizacion,72
37483,superintendente maquina,81
37484,card check,no se encuentra una ocupación específica denominada "card check" en la clasificación de la oit proporcionada. por favor proporciona otra ocupación.
37485,tecnologo medco,32
37486,tecnico en energia renoba,31
37487,enc de gestion curricular,23
37488,tec activador,31
37489,encargada de oftalmologia,22
37490,asistende de alimento,94
37491,jefa de enferm,22
37492,consultor camp ventas rem,24
37493,enfemera cordinadora,32
37494,operario campero,92
37495,encargada de coleccion,96
37496,gerente de relaciones lab,12
37497,ingeniera ayudante,31
37498,encargada de clik,24
37499,fonoaudiologa pie,22
37500,electro mecanico de ascen,31
37501,operario de laminacion,72
37502,ito hse,26
37503,operdora de grua,81
37504,mezclador de piuntura,72
37505,analista de renta variabl,24
37506,asistente de piloto robot,31
37507,operador de maquina 341,81
37508,ejcutiva sac,11
37509,operador logista,81
37510,linguista en de proyect,24
37511,jefa de direccion,11
37512,represent tecnico comerci,34
37513,crew multifuncional,51
37514,operador de embolsado,81
37515,encargado limpieza y mant,91
37516,ito especialidades,25
37517,jugador de foodball,93
37518,intercambiador de bateria,92
37519,directora de obras municipales,13
37520,chofer de camiones tolva,83
37521,auxiliar de producion,93
37522,departamento de limpieza,91
37523,yofiteria,41
37524,monitor de taller deporti,34
37525,audante de materiales,43
37526,ayudante de carpinetero,75
37527,tecimagenologia,32
37528,seil,no se encuentra una ocupación específica "seil" en la clasificación dada. si puedes proporcionar más contexto o información sobre esa ocupación, estaré encantado de ayudarte.
37529,supervisora de huerto,61
37530,ejecutiva de servicio al,12
37531,control calida,21
37532,panelero en madera,73
37533,analista de gestion perso,24
37534,maestro panedero,73
37535,ors reposicion,41
37536,auditor data scientist,24
37537,supervisor buceo,12
37538,encargado de pallet,82
37539,coordinardo logistico,24
37540,encargado de nave,83
37541,yalero y operario,72
37542,operador aglomerador,81
37543,analista especialista en,24
37544,prodesora,23
37545,tenss esterilizacion,32
37546,director estudios,23
37547,profesora bilingue,23
37548,lavado de maquinaria,81
37549,ejecutiva tecnica de proy,31
37550,jefe centro medico,12
37551,guardia nochero conserje,54
37552,operador de vaciador,81
37553,encargado de activos,33
37554,auxiliar de autos,83
37555,ag de parvulos,23
37556,segunda sub gerente,12
37557,coordinador vtas,24
37558,tecnico fabricacion,31
37559,directora de seguridad,12
37560,administracion y mantenci,33
37561,research nutrition sr,21
37562,operation manager,13
37563,trabajos del campo,63
37564,sub aministrador,12
37565,cordinador de programa de,24
37566,profesora de ciencas natu,23
37567,barista anfitrion,42
37568,operario hornero,75
37569,descargado,22
37570,encargada de arriendo,24
37571,mayordomia serv corte,91
37572,vendedora intgeral,52
37573,subdirector servicios san,12
37574,supervisor monitor,41
37575,ayudante de banco serrero,43
37576,embalador de rollo papel,82
37577,chofer y ayudante de obra,83
37578,coordinadora de emresas,24
37579,pmo autoconsumo,63
37580,maestro de vias y trollas,71
37581,servicio de higiene,91
37582,conductor y andamierop,83
37583,vendedora afp,52
37584,operador en roticeria,75
37585,productora de eventos,24
37586,tecnico maquinista,31
37587,supercisora,12
37588,cajera de local,42
37589,vendedor de tecnologia,52
37590,tec asiste educ diferenci,36
37591,encargada de marketin,24
37592,cerrajeria,73
37593,maestro metalugico,72
37594,encargado de barra,42
37595,ejecutivo inversiones,11
37596,kimesiologo,22
37597,tec encargado,36
37598,encargado culatas,72
37599,administrador de parques,14
37600,apoyo adminstrativo,44
37601,ejecutiva de caja,33
37602,mantencion decoracion,71
37603,agente aducativa,23
37604,tecnico de cuentas intern,33
37605,enc informatica,25
37606,administrativo produccio,13
37607,tec intencion de parvulos,36
37608,asistente de ed parv,36
37609,administrativo suplente,41
37610,demicheff,14
37611,trazador de lineas,72
37612,electrico de control,31
37613,operador b tronadura,81
37614,gestora tecnologica,25
37615,cipaer,no tengo información sobre la ocupación "cipaer". por favor, proporciona una ocupación más clara o familiar para poder clasificarla.
37616,maestros primera,23
37617,cajera de parking,42
37618,agente de extension horar,31
37619,encargado emergencia y op,12
37620,representante legal coleg,26
37621,acomodador y volante,41
37622,profesora de cocina,23
37623,jefe departamento ventas,12
37624,agenrte educativa,23
37625,auxiliar bus escolar,91
37626,m dos minero,93
37627,asistente de despachpo,41
37628,ejecutiva fibra optica en,21
37629,coordinadora de rec human,24
37630,regador de fundo,63
37631,patrullera vecinal,54
37632,patrullero conductor,54
37633,inspectora de pos,34
37634,operador de retroescav,81
37635,monitor convivencia,51
37636,jefe rentas vitalicias,24
37637,secretaria de deporte,11
37638,aseso5 de servicio,42
37639,jefe de unidad de atencio,11
37640,operador carga aeropuerto,81
37641,asistente prev riesgos,34
37642,reposicion de productos,52
37643,operarioa gricola,92
